Time	Speed
s*1e-6	m/s
14280531	6.355
14290546	6.355
14300453	6.335
14310535	6.36
14320469	6.335
14330440	6.335
14340583	6.355
14350452	6.34
14381141	6.35
14381259	6.35
14381361	6.34
14390652	6.35
14400442	6.345
14410447	6.345
14420535	6.34
14430478	6.35
14440549	6.345
14450488	6.35
14460479	6.355
14470531	6.35
14480466	6.35
14490557	6.34
14500543	6.34
14510495	6.345
14520546	6.335
14530456	6.335
14540545	6.315
14550521	6.305
14560465	6.295
14570523	6.26
14580455	6.24
14590478	6.22
14600555	6.185
14610463	6.17
14621500	6.13
14630842	6.09
14640549	6.055
14650451	6.02
14660469	5.975
14670533	5.935
14680560	5.89
14690465	5.84
14700446	5.79
14710526	5.75
14720534	5.7
14730468	5.62
14740469	5.56
14750536	5.52
14760525	5.455
14770457	5.38
14780457	5.32
14790578	5.27
14800450	5.185
14810464	5.12
14820522	5.055
14830491	4.985
14840549	4.915
14850531	4.84
14860459	4.785
14870516	4.7
14880513	4.64
14900600	4.565
14900704	4.49
14910513	4.41
14920545	4.34
14930449	4.275
14940459	4.2
14950575	4.125
14960515	4.05
14970453	3.97
14980490	3.895
14990578	3.84
15000535	3.77
15010460	3.66
15020451	3.58
15030533	3.545
15040529	3.475
15050460	3.37
15060453	3.31
15070431	3.245
15080613	3.205
15090584	3.135
15100443	3.045
15110445	2.98
15120452	2.92
15130506	2.855
15140536	2.785
15150527	2.72
15160605	2.655
15170444	2.62
15180445	2.555
15190464	2.495
15200439	2.42
15210503	2.325
15220530	2.26
15230517	2.195
15240526	2.13
15250528	2.065
15270433	1.935
15280439	1.865
15290510	1.79
15300428	1.72
15310547	1.67
15320549	1.6
15330527	1.535
15340533	1.47
15350504	1.405
15360510	1.305
15370512	1.235
15380511	1.17
15390510	1.13
15400493	1.065
15420763	0.94
15430497	0.88
15440528	0.81
15451034	0.75
15460539	0.69
15470493	0.635
15480520	0.58
15490515	0.52
15500487	0.465
15510536	0.405
15520516	0.345
15530506	0.285
15540502	0.225
15550491	0.09
15560475	0.03
15570475	0.025
15580484	0.03
15590552	0.025
15600499	0.12
15610528	0.195
15620559	0.23
15630474	0.26
15640499	0.28
15650472	0.285
15660478	0.29
15670473	0.285
15680463	0.275
15690504	0.26
15700487	0.235
15710484	0.215
15720468	0.185
15730507	0.145
15740492	0.01
15750489	0.01
15760496	0.015
15770492	0.015
15780518	0.02
15790530	0.02
15800462	0.02
15810484	0.02
